time,open,high,low,close
2026-02-05T09:00:00+03:00,4896.71,4943.735,4849.9,4855.395
2026-02-05T13:00:00+03:00,4855.39,4894.805,4802.06,4835.635
2026-02-05T17:00:00+03:00,4835.645,4906.735,4800.535,4869.025
2026-02-05T21:00:00+03:00,4868.98,4875.25,4759.48,4780.675
2026-02-06T01:00:00+03:00,4778.27,4785.005,4655.23,4774.51
2026-02-06T05:00:00+03:00,4774.49,4898.15,4760.865,4897.55
2026-02-06T09:00:00+03:00,4897.465,4903.4,4824.705,4866.805
2026-02-06T13:00:00+03:00,4866.8,4938.505,4852.045,4929.115
2026-02-06T17:00:00+03:00,4929.13,4968.72,4894.45,4960.6
2026-02-06T21:00:00+03:00,4960.58,4971.34,4936.69,4964.62
2026-02-09T01:00:00+03:00,4989.93,5047.915,4965.42,4983.005
2026-02-09T05:00:00+03:00,4982.955,5041.755,4968.885,5036.605
2026-02-09T09:00:00+03:00,5036.68,5045.815,4997.855,5007.985
2026-02-09T13:00:00+03:00,5007.93,5025,4982.495,5007.34
2026-02-09T17:00:00+03:00,5007.38,5080.895,5002.4,5046.3
2026-02-09T21:00:00+03:00,5046.29,5086.68,5044.44,5057.775
2026-02-10T01:00:00+03:00,5057.535,5064.13,4987.385,5033.055
2026-02-10T05:00:00+03:00,5032.98,5056.34,5011.445,5039.295
2026-02-10T09:00:00+03:00,5039.135,5063.55,5018.67,5046.905
2026-02-10T13:00:00+03:00,5046.9,5059.06,5019.935,5051.175
2026-02-10T17:00:00+03:00,5051.195,5078.745,4998.95,5026.605
2026-02-10T21:00:00+03:00,5026.585,5045.6,5004.73,5025.12
2026-02-11T01:00:00+03:00,5033.585,5054.855,5028.39,5052.6
2026-02-11T05:00:00+03:00,5052.575,5064.04,5032.745,5053.15
2026-02-11T09:00:00+03:00,5053.14,5072.185,5045.92,5062.925
2026-02-11T13:00:00+03:00,5062.91,5119.345,5019.715,5065.77
2026-02-11T17:00:00+03:00,5065.79,5099.315,5035.78,5091.53
2026-02-11T21:00:00+03:00,5091.45,5094.29,5066.96,5084.28
2026-02-12T01:00:00+03:00,5095.495,5095.915,5045.445,5063.65
2026-02-12T05:00:00+03:00,5063.56,5078.42,5050.985,5075.815
2026-02-12T09:00:00+03:00,5075.69,5080.91,5047.13,5073.265
2026-02-12T13:00:00+03:00,5073.27,5083.855,5048.935,5075.455
2026-02-12T17:00:00+03:00,5075.475,5077.905,4878.5,4941.145
2026-02-12T21:00:00+03:00,4941.14,4958.155,4906.765,4922.08
2026-02-13T01:00:00+03:00,4888.315,4988.825,4888.315,4980.865
2026-02-13T05:00:00+03:00,4980.78,4997.555,4944.93,4946.555
2026-02-13T09:00:00+03:00,4946.565,4989.695,4946.135,4970.34
2026-02-13T13:00:00+03:00,4970.355,4999.685,4933.635,4987.26
2026-02-13T17:00:00+03:00,4987.275,5033.735,4964.22,5021.045
2026-02-13T21:00:00+03:00,5021.085,5046.48,5015.485,5042.74
2026-02-16T01:00:00+03:00,5017.145,5032.565,5000.13,5028.955
2026-02-16T05:00:00+03:00,5028.965,5031.28,4964.865,4990.77
2026-02-16T09:00:00+03:00,4990.775,5017.445,4984.58,5013.66
2026-02-16T13:00:00+03:00,5013.67,5017.225,4989.64,4997.365
2026-02-16T17:00:00+03:00,4997.37,4999.66,4969.11,4991.765
2026-02-16T21:00:00+03:00,4991.865,4997.975,4988.645,4992.005
2026-02-17T01:00:00+03:00,4997.26,5001.24,4922.895,4957.605
2026-02-17T05:00:00+03:00,4957.485,4971.55,4859.2,4888.94
2026-02-17T09:00:00+03:00,4889,4932.67,4886.6,4926.09
2026-02-17T13:00:00+03:00,4926.03,4944.7,4869.965,4870.96
2026-02-17T17:00:00+03:00,4870.92,4907.235,4842.6,4865.095
2026-02-17T21:00:00+03:00,4865.1,4910.9,4862.395,4877.855
2026-02-18T01:00:00+03:00,4871.135,4893.55,4854.24,4889.98
2026-02-18T05:00:00+03:00,4890.02,4940.89,4886.475,4933.49
2026-02-18T09:00:00+03:00,4933.655,4942.49,4913.075,4917.425
2026-02-18T13:00:00+03:00,4917.465,4969.1,4906.425,4954.78
2026-02-18T17:00:00+03:00,4954.79,5010.915,4952.34,4999.195
2026-02-18T21:00:00+03:00,4999.185,5003.27,4972.87,4977.26
2026-02-19T01:00:00+03:00,4973.795,4988.86,4960.645,4973.14
2026-02-19T05:00:00+03:00,4973.08,4998.94,4965.825,4997.28
2026-02-19T09:00:00+03:00,4997.275,5022.17,4993.215,4995.67
2026-02-19T13:00:00+03:00,4995.62,4998.81,4971.125,4997.17
2026-02-19T17:00:00+03:00,4997.12,5022.385,4963.445,4985.165
2026-02-19T21:00:00+03:00,4985.2,5004.225,4975.41,4996.49
2026-02-20T01:00:00+03:00,5000.805,5014.865,4985.435,4997.145
2026-02-20T05:00:00+03:00,4997.135,5012.185,4981.67,5012.185
2026-02-20T09:00:00+03:00,5012.09,5042.74,5004.97,5027.635
2026-02-20T13:00:00+03:00,5027.67,5048.885,5007.285,5043.48
2026-02-20T17:00:00+03:00,5043.5,5076.465,4990.585,5073.12
2026-02-20T21:00:00+03:00,5073.06,5108.72,5053.79,5108.255
2026-02-23T01:00:00+03:00,5118.71,5172.315,5117.815,5157.345
2026-02-23T05:00:00+03:00,5157.375,5176.95,5151.775,5158.36
2026-02-23T09:00:00+03:00,5158.35,5161.755,5122.22,5149.5
2026-02-23T13:00:00+03:00,5149.59,5165.565,5143.85,5146.375
2026-02-23T17:00:00+03:00,5146.325,5219.215,5141.615,5208.06
2026-02-23T21:00:00+03:00,5208.09,5237.95,5201.015,5226.87
2026-02-24T01:00:00+03:00,5244.98,5250.005,5145.135,5177.375
2026-02-24T05:00:00+03:00,5177.38,5191.95,5161.12,5182.475
2026-02-24T09:00:00+03:00,5182.47,5185.24,5155.905,5171.595
2026-02-24T13:00:00+03:00,5171.55,5181.49,5111,5115.145
2026-02-24T17:00:00+03:00,5115.14,5163.86,5093.225,5163.78
2026-02-24T21:00:00+03:00,5163.715,5173.31,5139.88,5143.925
2026-02-25T01:00:00+03:00,5135.495,5189.895,5128.285,5176.685
2026-02-25T05:00:00+03:00,5176.66,5210.68,5166.495,5201.705
2026-02-25T09:00:00+03:00,5201.72,5201.73,5176.635,5193.295
2026-02-25T13:00:00+03:00,5193.3,5195.285,5155.095,5185.205
2026-02-25T17:00:00+03:00,5185.175,5217.78,5158.645,5206.945
2026-02-25T21:00:00+03:00,5206.96,5208.445,5144.905,5163.58
2026-02-26T01:00:00+03:00,5173.57,5198.455,5155.13,5191.5
2026-02-26T05:00:00+03:00,5191.495,5205.64,5174.07,5198.365
2026-02-26T09:00:00+03:00,5198.395,5199.82,5167.7,5186.49
2026-02-26T13:00:00+03:00,5186.485,5190.335,5157.87,5165.995
2026-02-26T17:00:00+03:00,5165.985,5192.955,5130.235,5167.345
2026-02-26T21:00:00+03:00,5167.49,5201.005,5160.53,5185.17
2026-02-27T01:00:00+03:00,5182.035,5195.03,5166.995,5194.41
2026-02-27T05:00:00+03:00,5194.47,5200.64,5173.59,5197.815
2026-02-27T09:00:00+03:00,5197.83,5199.47,5172.225,5176.11
2026-02-27T13:00:00+03:00,5176.145,5240.825,5168.685,5223.22
2026-02-27T17:00:00+03:00,5223.17,5257.75,5213.935,5234.74
2026-02-27T21:00:00+03:00,5234.75,5281.155,5222.665,5278.51
2026-03-02T01:00:00+03:00,5368.53,5394.005,5303.39,5325.44
2026-03-02T05:00:00+03:00,5325.34,5367.325,5317.325,5366.04
2026-03-02T09:00:00+03:00,5366.045,5419.66,5363.835,5392.11
2026-03-02T13:00:00+03:00,5392.115,5417.045,5374.37,5394.08
2026-03-02T17:00:00+03:00,5394.1,5395.375,5260.285,5306.995
2026-03-02T21:00:00+03:00,5306.99,5346.585,5289.87,5321.935
2026-03-03T01:00:00+03:00,5344.96,5379.975,5329.3,5339.67
2026-03-03T05:00:00+03:00,5339.69,5375.865,5305.1,5319.32
2026-03-03T09:00:00+03:00,5319.36,5336.12,5225.57,5275.345
2026-03-03T13:00:00+03:00,5275.28,5288.07,5073.135,5156.895
2026-03-03T17:00:00+03:00,5156.885,5175.7,4996.275,5079.63
2026-03-03T21:00:00+03:00,5079.545,5149.055,5079.375,5088.835
2026-03-04T01:00:00+03:00,5106.335,5178.82,5105.37,5175.155
2026-03-04T05:00:00+03:00,5175.075,5191.065,5141.14,5160.09
2026-03-04T09:00:00+03:00,5160.095,5185.4,5117.72,5182.51
2026-03-04T13:00:00+03:00,5182.53,5206.265,5156.51,5167.965
2026-03-04T17:00:00+03:00,5167.99,5185.33,5120.285,5141.285
2026-03-04T21:00:00+03:00,5141.23,5146.945,5108.64,5140.945
2026-03-05T01:00:00+03:00,5152.485,5186.575,5144.86,5172.85
2026-03-05T05:00:00+03:00,5172.8,5195.22,5148.41,5148.755
2026-03-05T09:00:00+03:00,5148.755,5180.48,5120.785,5161.26
2026-03-05T13:00:00+03:00,5161.255,5171.54,5081.23,5118.085
2026-03-05T17:00:00+03:00,5118.09,5130.005,5054.22,5062.87
2026-03-05T21:00:00+03:00,5062.75,5094.925,5050.905,5081.38
2026-03-06T01:00:00+03:00,5090.81,5144.05,5066.4,5134.575
2026-03-06T05:00:00+03:00,5134.44,5141.64,5114.23,5117.63
2026-03-06T09:00:00+03:00,5117.595,5123.16,5083.33,5085.715
2026-03-06T13:00:00+03:00,5085.77,5131.245,5063.215,5085.12
2026-03-06T17:00:00+03:00,5085.17,5171.89,5080.905,5141.01
2026-03-06T21:00:00+03:00,5141.015,5176.63,5138.88,5171.5
2026-03-09T00:00:00+03:00,5171.95,5171.95,5028.54,5050.03
2026-03-09T04:00:00+03:00,5049.625,5102.255,5015.045,5090.36
2026-03-09T08:00:00+03:00,5090.35,5140.79,5081.185,5096.725
